purchase_history,product_preferences,brand_affinity,payment_methods,channel_preferences,shopping_frequency,average_purchase_value,returned_items_frequency,loyalty_program_enrollment,promotional_sensitivity,wishlist_activity,cart_abandonment_rate,event_participation,content_engagement_level,advertisement_response_rate
Occasional,Groceries,Moderate,Credit Card,Online,Weekly,$100-$500,High,No,High,Active,Moderate,Occasional,Moderate,Moderate
Occasional,Books,High,Debit Card,Offline,Weekly,<$50,Moderate,No,High,Active,Moderate,Never,High,High
Frequent,Home Decor,High,Digital Wallet,Online,Daily,>$500,Low,Yes,Low,Active,Low,Occasional,High,Moderate
Rare,Clothing,High,Credit Card,Offline,Weekly,<$50,Moderate,Yes,Low,Inactive,Low,Occasional,High,Moderate
Frequent,Groceries,Low,Digital Wallet,Both,Weekly,<$50,High,Yes,Low,Active,Low,Occasional,High,Low
Occasional,Home Decor,High,Cash,Offline,Monthly,$50-$100,High,No,Moderate,Active,Low,Occasional,Low,Low
Frequent,Home Decor,Moderate,Cash,Online,Weekly,>$500,Low,Yes,Moderate,Inactive,Moderate,Never,High,Moderate
Occasional,Home Decor,Low,Credit Card,Offline,Monthly,$100-$500,Low,Yes,High,Inactive,Moderate,Frequent,High,Moderate
Occasional,Groceries,Moderate,Cash,Offline,Weekly,$50-$100,High,Yes,Moderate,Active,High,Frequent,Low,Low
Frequent,Clothing,Low,Credit Card,Online,Daily,$100-$500,High,No,Moderate,Inactive,High,Occasional,High,Low
Rare,Clothing,Low,Debit Card,Online,Daily,<$50,High,Yes,High,Active,Moderate,Occasional,Low,Moderate
Frequent,Groceries,High,Cash,Online,Weekly,>$500,Low,No,Low,Active,High,Never,Low,High
Rare,Home Decor,High,Cash,Both,Daily,$50-$100,High,Yes,High,Active,Moderate,Never,High,High
Occasional,Groceries,High,Credit Card,Both,Daily,<$50,Low,No,Low,Active,High,Occasional,Moderate,Moderate
Frequent,Groceries,High,Cash,Both,Monthly,$50-$100,Moderate,No,Low,Inactive,Moderate,Never,High,Moderate
Occasional,Groceries,Moderate,Cash,Offline,Occasionally,$50-$100,Moderate,Yes,High,Active,Moderate,Occasional,Low,Moderate
Rare,Clothing,Low,Digital Wallet,Offline,Weekly,<$50,Moderate,Yes,High,Active,Low,Occasional,Low,High
Frequent,Electronics,High,Credit Card,Both,Monthly,<$50,Low,No,Moderate,Active,Moderate,Occasional,Moderate,Low
Occasional,Groceries,Low,Credit Card,Both,Monthly,>$500,Low,No,Low,Active,Low,Never,Moderate,Moderate
Frequent,Home Decor,Moderate,Cash,Offline,Monthly,>$500,Low,No,Low,Inactive,High,Never,High,High
Frequent,Clothing,Moderate,Debit Card,Online,Daily,>$500,Moderate,No,Low,Inactive,High,Occasional,High,Low
Rare,Clothing,High,Digital Wallet,Offline,Weekly,<$50,Moderate,Yes,Moderate,Active,High,Frequent,Moderate,High
Occasional,Groceries,High,Cash,Online,Occasionally,<$50,Moderate,No,Low,Active,Moderate,Never,Moderate,Moderate
Occasional,Clothing,Low,Cash,Offline,Daily,<$50,Low,No,High,Active,Low,Never,Moderate,Low
Occasional,Clothing,Moderate,Debit Card,Offline,Weekly,<$50,High,No,High,Inactive,Low,Occasional,Moderate,Moderate
Rare,Clothing,High,Digital Wallet,Offline,Weekly,>$500,Low,Yes,Low,Inactive,Moderate,Never,High,High
Frequent,Clothing,High,Credit Card,Offline,Monthly,$50-$100,Low,Yes,High,Active,High,Frequent,Low,Low
Occasional,Groceries,Moderate,Cash,Offline,Weekly,<$50,Low,No,Moderate,Inactive,Moderate,Occasional,Low,High
Rare,Clothing,Moderate,Credit Card,Both,Monthly,>$500,Moderate,Yes,Low,Active,Moderate,Frequent,Low,Low
Frequent,Home Decor,High,Digital Wallet,Both,Daily,$50-$100,Moderate,No,Moderate,Inactive,Moderate,Never,High,Low
Rare,Groceries,High,Debit Card,Both,Daily,>$500,Moderate,Yes,Low,Active,Low,Frequent,High,Moderate
Rare,Home Decor,Moderate,Digital Wallet,Both,Monthly,<$50,Low,No,Moderate,Inactive,High,Occasional,High,Low
Frequent,Electronics,Low,Digital Wallet,Both,Daily,<$50,Moderate,Yes,High,Active,High,Frequent,High,Moderate
Rare,Books,Moderate,Cash,Online,Weekly,<$50,Moderate,No,Moderate,Active,Moderate,Never,Low,Low
Occasional,Groceries,Moderate,Debit Card,Both,Daily,$100-$500,Moderate,Yes,High,Active,Low,Frequent,Low,Low
Frequent,Electronics,High,Cash,Online,Monthly,$50-$100,Low,No,High,Inactive,Moderate,Frequent,Low,Moderate
Frequent,Books,Low,Debit Card,Online,Weekly,>$500,Moderate,No,High,Inactive,Moderate,Frequent,Moderate,Moderate
Frequent,Home Decor,Moderate,Credit Card,Online,Occasionally,$100-$500,Low,Yes,Moderate,Inactive,Moderate,Occasional,Low,Moderate
Frequent,Groceries,Low,Credit Card,Offline,Monthly,$50-$100,Moderate,Yes,Moderate,Active,Moderate,Occasional,Moderate,Moderate
Frequent,Groceries,High,Debit Card,Both,Monthly,$50-$100,Low,No,Moderate,Active,Moderate,Never,Moderate,Moderate
Occasional,Electronics,Low,Debit Card,Both,Weekly,$100-$500,Moderate,No,Low,Active,High,Frequent,Low,High
Rare,Clothing,High,Credit Card,Online,Weekly,$50-$100,High,Yes,Moderate,Active,Low,Never,Low,Low
Occasional,Electronics,High,Digital Wallet,Online,Weekly,$100-$500,High,Yes,Low,Inactive,Moderate,Occasional,High,High
Rare,Books,High,Cash,Offline,Monthly,<$50,Low,Yes,Moderate,Active,Moderate,Never,Moderate,Low
Frequent,Books,Low,Cash,Offline,Occasionally,$50-$100,High,Yes,High,Active,High,Frequent,Moderate,High
Rare,Clothing,Low,Debit Card,Online,Weekly,>$500,High,No,Low,Inactive,High,Never,Moderate,Moderate
Frequent,Groceries,Moderate,Credit Card,Both,Occasionally,$100-$500,Low,Yes,High,Active,Moderate,Never,Low,High
Frequent,Clothing,High,Debit Card,Offline,Monthly,<$50,Low,Yes,Moderate,Inactive,Low,Frequent,Low,Moderate
Occasional,Books,High,Debit Card,Both,Weekly,$50-$100,High,Yes,High,Active,Moderate,Never,Low,Low
Frequent,Groceries,Low,Cash,Online,Daily,>$500,Moderate,Yes,Low,Inactive,Moderate,Frequent,High,Moderate
Frequent,Clothing,Moderate,Debit Card,Both,Occasionally,>$500,Moderate,No,High,Inactive,Moderate,Frequent,Low,Low
Rare,Clothing,Moderate,Debit Card,Both,Monthly,$50-$100,Moderate,Yes,Low,Inactive,Low,Frequent,Low,Moderate
Occasional,Books,High,Credit Card,Offline,Daily,$100-$500,Low,Yes,Low,Inactive,High,Frequent,Moderate,Moderate
Frequent,Clothing,Low,Debit Card,Both,Daily,>$500,Low,No,Moderate,Inactive,Moderate,Frequent,Low,High
Rare,Books,High,Cash,Online,Occasionally,$100-$500,High,Yes,Low,Active,Low,Frequent,Moderate,Moderate
Frequent,Clothing,High,Credit Card,Offline,Daily,<$50,Low,No,Low,Active,Moderate,Occasional,Low,Low
Occasional,Clothing,High,Debit Card,Offline,Monthly,>$500,Low,No,Moderate,Active,Low,Occasional,High,High
Rare,Home Decor,High,Cash,Both,Occasionally,>$500,High,Yes,Moderate,Active,Low,Never,Low,Moderate
Occasional,Clothing,Low,Credit Card,Offline,Weekly,$100-$500,Moderate,No,Moderate,Active,Moderate,Never,Low,Low
Occasional,Clothing,Low,Credit Card,Offline,Daily,$50-$100,Low,Yes,High,Inactive,Low,Frequent,High,Low
Frequent,Home Decor,Moderate,Cash,Offline,Daily,>$500,High,No,High,Inactive,Low,Never,High,High
Rare,Electronics,Low,Cash,Both,Occasionally,$100-$500,Moderate,No,Moderate,Active,Moderate,Occasional,High,High
Frequent,Groceries,High,Credit Card,Both,Monthly,$50-$100,Low,No,High,Active,High,Frequent,Moderate,High
Occasional,Clothing,Low,Digital Wallet,Online,Daily,>$500,High,Yes,High,Inactive,Moderate,Frequent,High,High
Frequent,Books,Low,Cash,Both,Daily,>$500,Low,No,High,Inactive,Moderate,Never,Moderate,Moderate
Occasional,Clothing,Moderate,Digital Wallet,Online,Daily,>$500,Moderate,No,Moderate,Active,Low,Never,Moderate,Moderate
Frequent,Home Decor,Moderate,Debit Card,Online,Daily,$50-$100,High,Yes,Moderate,Inactive,Low,Frequent,High,Low
Rare,Home Decor,Low,Cash,Offline,Weekly,>$500,Moderate,No,Moderate,Inactive,Moderate,Frequent,High,High
Occasional,Clothing,Low,Cash,Offline,Monthly,$50-$100,Low,No,Moderate,Active,Moderate,Occasional,Moderate,Moderate
Occasional,Clothing,Low,Digital Wallet,Both,Daily,>$500,Moderate,Yes,Low,Inactive,Low,Never,Low,High
Frequent,Books,Moderate,Debit Card,Online,Weekly,<$50,Low,Yes,High,Inactive,Low,Frequent,Low,Low
Occasional,Home Decor,Moderate,Credit Card,Offline,Monthly,$100-$500,High,Yes,Moderate,Active,High,Never,Low,Moderate
Rare,Clothing,High,Debit Card,Offline,Daily,$100-$500,Low,No,High,Inactive,High,Occasional,Moderate,Moderate
Occasional,Home Decor,Moderate,Credit Card,Both,Monthly,$100-$500,Moderate,Yes,Moderate,Active,Moderate,Occasional,High,Moderate
Occasional,Groceries,Low,Digital Wallet,Both,Daily,>$500,Moderate,No,Moderate,Active,High,Never,Moderate,Low
Occasional,Books,Low,Debit Card,Both,Monthly,$100-$500,High,Yes,Low,Inactive,High,Occasional,Moderate,Moderate
Rare,Electronics,Low,Credit Card,Offline,Monthly,$50-$100,Low,No,High,Active,High,Frequent,High,High
Rare,Books,High,Debit Card,Offline,Weekly,$100-$500,Moderate,No,Moderate,Inactive,High,Never,Low,Moderate
Frequent,Books,Moderate,Digital Wallet,Offline,Weekly,$50-$100,High,Yes,High,Inactive,Moderate,Occasional,High,High
Occasional,Home Decor,Low,Cash,Online,Occasionally,$50-$100,Moderate,Yes,Low,Active,Low,Frequent,Moderate,High
Occasional,Books,High,Cash,Both,Monthly,>$500,Low,Yes,Low,Active,High,Frequent,Moderate,High
Frequent,Home Decor,High,Digital Wallet,Online,Daily,$50-$100,Low,Yes,Low,Active,Moderate,Frequent,High,Moderate
Rare,Home Decor,High,Debit Card,Both,Occasionally,>$500,Low,No,Moderate,Active,High,Frequent,High,Moderate
Rare,Home Decor,High,Credit Card,Offline,Weekly,$100-$500,Moderate,Yes,Low,Inactive,Moderate,Never,Low,Low
Frequent,Books,Moderate,Cash,Online,Weekly,$50-$100,Low,No,Moderate,Inactive,Moderate,Frequent,Moderate,Low
Occasional,Groceries,High,Cash,Online,Weekly,$100-$500,High,No,High,Inactive,Moderate,Occasional,High,Low
Occasional,Clothing,High,Debit Card,Offline,Daily,<$50,High,Yes,Moderate,Inactive,Low,Frequent,Low,High
Occasional,Clothing,High,Debit Card,Offline,Monthly,>$500,Low,Yes,Moderate,Active,Moderate,Never,Low,High
Occasional,Groceries,Moderate,Digital Wallet,Online,Monthly,$50-$100,Low,Yes,Moderate,Active,High,Never,Moderate,High
Frequent,Clothing,High,Debit Card,Offline,Daily,<$50,Low,No,Moderate,Inactive,Low,Occasional,Moderate,Low
Occasional,Electronics,Low,Cash,Both,Daily,>$500,Moderate,Yes,Low,Active,Low,Occasional,Moderate,High
Frequent,Electronics,Low,Digital Wallet,Both,Weekly,$50-$100,Moderate,Yes,Moderate,Active,High,Occasional,Low,Moderate
Frequent,Groceries,High,Debit Card,Both,Weekly,>$500,High,Yes,Low,Inactive,Low,Frequent,High,High
Frequent,Home Decor,Moderate,Cash,Online,Monthly,<$50,High,Yes,Moderate,Inactive,High,Frequent,Low,High
Rare,Electronics,Moderate,Digital Wallet,Online,Daily,<$50,Moderate,No,High,Inactive,High,Occasional,Low,Moderate
Occasional,Electronics,Low,Digital Wallet,Both,Weekly,>$500,Low,Yes,High,Inactive,Low,Never,High,Moderate
Rare,Home Decor,High,Credit Card,Both,Occasionally,$50-$100,Moderate,No,Low,Active,High,Frequent,Moderate,Moderate
Occasional,Books,Low,Cash,Offline,Occasionally,$50-$100,Low,No,Moderate,Active,Low,Occasional,High,Moderate
Occasional,Home Decor,Moderate,Debit Card,Offline,Occasionally,$50-$100,Low,No,Moderate,Inactive,Moderate,Never,High,High
Occasional,Clothing,Moderate,Digital Wallet,Both,Weekly,>$500,Low,No,High,Active,High,Never,High,Low
Frequent,Electronics,High,Cash,Both,Monthly,$100-$500,Low,No,High,Inactive,Low,Never,Low,High
Frequent,Groceries,High,Digital Wallet,Both,Occasionally,$50-$100,Low,No,High,Inactive,High,Occasional,High,High
Frequent,Home Decor,Moderate,Digital Wallet,Offline,Daily,<$50,Low,Yes,Moderate,Active,Low,Occasional,Low,Low
Frequent,Electronics,High,Digital Wallet,Offline,Daily,$50-$100,High,No,Moderate,Active,High,Occasional,Low,High
Occasional,Home Decor,Low,Debit Card,Online,Daily,>$500,Moderate,No,Moderate,Inactive,Moderate,Never,High,Moderate
Occasional,Groceries,Moderate,Credit Card,Offline,Daily,$100-$500,Low,Yes,High,Inactive,Moderate,Occasional,Low,Low
Occasional,Books,Low,Debit Card,Both,Occasionally,$50-$100,High,No,High,Inactive,Moderate,Occasional,Low,Low
Rare,Clothing,High,Digital Wallet,Online,Daily,>$500,High,No,Moderate,Inactive,High,Frequent,High,Moderate
Frequent,Clothing,Low,Credit Card,Both,Occasionally,$100-$500,High,Yes,Moderate,Inactive,High,Occasional,Moderate,Low
Occasional,Home Decor,High,Cash,Offline,Daily,$100-$500,High,Yes,Low,Active,Moderate,Never,High,High
Frequent,Groceries,High,Cash,Online,Occasionally,$50-$100,Moderate,Yes,Moderate,Inactive,Moderate,Frequent,Low,High
Occasional,Home Decor,Moderate,Digital Wallet,Offline,Weekly,<$50,Moderate,Yes,Low,Active,Low,Frequent,Low,High
Rare,Clothing,High,Debit Card,Both,Occasionally,<$50,High,Yes,High,Inactive,Low,Frequent,Low,Low
Occasional,Groceries,Low,Credit Card,Both,Occasionally,>$500,High,Yes,Low,Active,Moderate,Frequent,High,High
Rare,Home Decor,Low,Debit Card,Offline,Weekly,$100-$500,Moderate,Yes,Moderate,Inactive,High,Frequent,Low,Moderate
Rare,Groceries,High,Cash,Offline,Daily,<$50,Low,No,High,Inactive,Moderate,Never,High,Moderate
Occasional,Groceries,High,Credit Card,Both,Weekly,$100-$500,Moderate,No,Low,Inactive,Moderate,Never,Moderate,Low
Rare,Clothing,Low,Debit Card,Offline,Weekly,$50-$100,Low,No,Moderate,Inactive,Moderate,Frequent,High,High
Occasional,Home Decor,Moderate,Cash,Offline,Weekly,<$50,High,No,Low,Inactive,Moderate,Never,High,High
Rare,Books,Moderate,Digital Wallet,Online,Occasionally,<$50,Moderate,No,High,Inactive,Low,Frequent,Moderate,Low
Frequent,Books,Low,Debit Card,Online,Daily,>$500,Moderate,No,Low,Inactive,High,Occasional,Moderate,Moderate
Occasional,Home Decor,High,Credit Card,Offline,Weekly,$100-$500,Low,No,High,Inactive,Moderate,Frequent,Moderate,Moderate
Rare,Electronics,High,Cash,Online,Occasionally,$100-$500,High,Yes,Low,Active,Low,Frequent,Moderate,Low
Occasional,Clothing,High,Credit Card,Both,Occasionally,$50-$100,High,Yes,Moderate,Active,High,Frequent,High,High
Rare,Home Decor,Moderate,Cash,Online,Daily,$100-$500,Moderate,Yes,High,Inactive,Moderate,Frequent,Moderate,High
Rare,Clothing,Moderate,Cash,Both,Monthly,<$50,Moderate,Yes,High,Inactive,Moderate,Frequent,Moderate,Moderate
Occasional,Groceries,High,Cash,Both,Weekly,$50-$100,High,No,Moderate,Active,Moderate,Frequent,Low,Moderate
Frequent,Electronics,High,Credit Card,Both,Occasionally,$50-$100,Low,Yes,Low,Active,High,Frequent,High,High
Frequent,Groceries,Low,Digital Wallet,Offline,Daily,>$500,High,No,Moderate,Active,Low,Frequent,High,Low
Rare,Groceries,Low,Debit Card,Online,Daily,$50-$100,Moderate,No,Moderate,Active,High,Frequent,Low,Low
Frequent,Clothing,Low,Cash,Both,Occasionally,$50-$100,Low,Yes,High,Active,Moderate,Frequent,Moderate,Low
Rare,Clothing,Moderate,Digital Wallet,Offline,Daily,$50-$100,Moderate,No,High,Inactive,High,Never,High,Low
Frequent,Groceries,Low,Credit Card,Offline,Monthly,$50-$100,Moderate,No,Low,Active,High,Never,Low,Moderate
Rare,Electronics,High,Debit Card,Offline,Daily,$50-$100,Moderate,No,Moderate,Inactive,Low,Never,Moderate,Moderate
Occasional,Home Decor,Low,Debit Card,Both,Occasionally,<$50,High,No,Moderate,Active,Low,Never,Moderate,High
Rare,Home Decor,Moderate,Credit Card,Offline,Weekly,>$500,Low,Yes,Moderate,Active,Moderate,Never,Moderate,High
Frequent,Home Decor,Low,Credit Card,Offline,Monthly,>$500,High,Yes,High,Inactive,Low,Frequent,Low,High
Frequent,Groceries,Low,Credit Card,Online,Monthly,<$50,High,Yes,High,Inactive,Moderate,Never,Low,Low
Occasional,Groceries,High,Digital Wallet,Offline,Daily,$100-$500,Moderate,No,Moderate,Inactive,High,Never,High,Moderate
Occasional,Groceries,Moderate,Digital Wallet,Online,Occasionally,<$50,Moderate,Yes,Low,Inactive,Low,Occasional,High,Moderate
Occasional,Home Decor,Moderate,Credit Card,Online,Weekly,$100-$500,Low,No,Moderate,Inactive,High,Occasional,Moderate,Low
Occasional,Books,High,Debit Card,Online,Weekly,$100-$500,Low,Yes,Low,Inactive,Low,Occasional,Low,Low
Occasional,Clothing,High,Cash,Both,Occasionally,<$50,Moderate,Yes,Moderate,Inactive,High,Never,High,High
Occasional,Home Decor,High,Digital Wallet,Online,Monthly,>$500,Low,Yes,Moderate,Active,Low,Frequent,Low,Moderate
Rare,Groceries,High,Credit Card,Online,Occasionally,>$500,Low,No,High,Inactive,High,Frequent,Low,Low
Occasional,Books,Moderate,Digital Wallet,Both,Monthly,$100-$500,High,No,High,Active,High,Never,High,Moderate
Occasional,Clothing,Low,Cash,Both,Weekly,$50-$100,Moderate,Yes,High,Inactive,Low,Never,Moderate,Moderate
Occasional,Groceries,Moderate,Cash,Offline,Occasionally,$50-$100,Moderate,Yes,Moderate,Inactive,Moderate,Occasional,Moderate,High
Rare,Clothing,Low,Digital Wallet,Offline,Weekly,>$500,Moderate,Yes,High,Active,Low,Occasional,Low,Low
Rare,Books,Moderate,Credit Card,Online,Occasionally,$50-$100,Low,No,Moderate,Inactive,Low,Never,High,High
Rare,Electronics,High,Cash,Online,Daily,>$500,Moderate,No,Low,Inactive,High,Never,High,High
Occasional,Home Decor,High,Debit Card,Both,Daily,<$50,High,Yes,Low,Active,Low,Occasional,High,Low
Occasional,Electronics,High,Debit Card,Online,Occasionally,<$50,Moderate,No,High,Inactive,Moderate,Frequent,Low,Moderate
Frequent,Electronics,Low,Credit Card,Both,Monthly,$50-$100,Moderate,No,Moderate,Inactive,High,Never,High,High
Occasional,Electronics,Moderate,Cash,Both,Occasionally,$50-$100,Moderate,Yes,Low,Inactive,Moderate,Occasional,High,High
Rare,Clothing,Low,Debit Card,Offline,Monthly,$100-$500,Low,Yes,High,Inactive,Low,Frequent,High,Low
Rare,Electronics,Low,Debit Card,Online,Daily,$100-$500,Moderate,Yes,High,Inactive,Moderate,Frequent,Moderate,Moderate
Frequent,Groceries,Moderate,Debit Card,Offline,Weekly,>$500,High,Yes,High,Inactive,Low,Never,Low,Moderate
Occasional,Books,Moderate,Cash,Both,Occasionally,$50-$100,High,Yes,Moderate,Inactive,Moderate,Never,High,High
Occasional,Books,Moderate,Cash,Offline,Occasionally,$50-$100,Moderate,No,High,Active,Low,Never,High,High
Occasional,Clothing,Moderate,Credit Card,Both,Occasionally,<$50,Low,Yes,High,Active,Low,Occasional,Low,Moderate
Occasional,Groceries,Low,Cash,Offline,Daily,$50-$100,High,No,Moderate,Active,Moderate,Occasional,Low,High
Occasional,Clothing,High,Credit Card,Both,Daily,$50-$100,High,No,Moderate,Inactive,Moderate,Occasional,High,Moderate
Occasional,Electronics,Moderate,Credit Card,Both,Weekly,$100-$500,Low,No,High,Active,Moderate,Never,Moderate,Moderate
Rare,Clothing,Moderate,Debit Card,Online,Occasionally,<$50,Moderate,Yes,High,Active,High,Occasional,High,High
Frequent,Electronics,Low,Cash,Online,Weekly,<$50,Moderate,Yes,Low,Active,High,Never,High,Moderate
Frequent,Clothing,Moderate,Digital Wallet,Offline,Monthly,>$500,Low,Yes,Moderate,Active,Moderate,Never,High,High
Rare,Home Decor,High,Cash,Online,Daily,<$50,Low,No,High,Inactive,High,Never,Low,High
Occasional,Books,High,Cash,Both,Monthly,>$500,Low,No,High,Active,High,Occasional,Low,Moderate
Occasional,Groceries,Moderate,Debit Card,Online,Monthly,<$50,Moderate,Yes,High,Active,Low,Never,Moderate,Moderate
Frequent,Home Decor,Low,Cash,Online,Occasionally,<$50,Moderate,Yes,Moderate,Inactive,High,Occasional,High,High
Occasional,Clothing,Moderate,Digital Wallet,Online,Monthly,$50-$100,Low,No,Low,Inactive,Moderate,Never,Low,Moderate
Rare,Books,Low,Debit Card,Offline,Weekly,<$50,High,Yes,Moderate,Inactive,Low,Occasional,High,High
Frequent,Home Decor,Low,Cash,Online,Weekly,$100-$500,High,No,Moderate,Active,Moderate,Frequent,Moderate,Low
Rare,Books,Low,Credit Card,Offline,Monthly,>$500,Low,No,Low,Inactive,Moderate,Occasional,Low,High
Occasional,Groceries,Moderate,Cash,Online,Occasionally,<$50,Low,Yes,Moderate,Active,High,Frequent,Moderate,High
Occasional,Clothing,Moderate,Cash,Both,Occasionally,$50-$100,High,No,Low,Inactive,Moderate,Occasional,Low,Low
Rare,Electronics,High,Cash,Both,Weekly,>$500,Moderate,Yes,Moderate,Inactive,Moderate,Frequent,Moderate,Low
Rare,Home Decor,High,Digital Wallet,Online,Weekly,$100-$500,High,No,Moderate,Active,Low,Never,High,High
Occasional,Electronics,High,Digital Wallet,Online,Monthly,<$50,Moderate,Yes,High,Active,Moderate,Frequent,Moderate,Low
Occasional,Electronics,High,Credit Card,Online,Monthly,<$50,High,No,Low,Inactive,Moderate,Frequent,Low,High
Rare,Clothing,Low,Cash,Both,Occasionally,$100-$500,Low,Yes,Moderate,Inactive,High,Occasional,Moderate,High
Rare,Groceries,Moderate,Cash,Online,Daily,<$50,High,Yes,Moderate,Active,Moderate,Frequent,Moderate,Low
Frequent,Groceries,High,Debit Card,Both,Monthly,<$50,High,No,Low,Active,High,Never,Low,Low
Occasional,Clothing,Moderate,Credit Card,Online,Weekly,$100-$500,Low,No,Moderate,Active,Moderate,Never,Moderate,Moderate
Frequent,Books,Moderate,Debit Card,Offline,Monthly,>$500,High,No,Low,Inactive,High,Occasional,Low,Moderate
Rare,Clothing,High,Digital Wallet,Offline,Occasionally,>$500,Low,No,Moderate,Inactive,Low,Frequent,Low,Low
Frequent,Electronics,Low,Debit Card,Both,Monthly,$100-$500,Moderate,No,Moderate,Active,Moderate,Frequent,Low,Moderate
Rare,Home Decor,Low,Debit Card,Online,Monthly,>$500,Low,No,Low,Inactive,Low,Frequent,Moderate,High
Occasional,Home Decor,Moderate,Digital Wallet,Online,Occasionally,$50-$100,High,Yes,High,Inactive,Low,Never,Low,Moderate
Frequent,Clothing,Low,Digital Wallet,Online,Daily,>$500,Moderate,No,Low,Inactive,Moderate,Never,High,Moderate
Frequent,Clothing,Low,Debit Card,Both,Occasionally,<$50,Low,Yes,Low,Inactive,Moderate,Never,High,Moderate
Frequent,Home Decor,High,Cash,Offline,Monthly,<$50,High,Yes,High,Inactive,Low,Occasional,Low,Moderate
Rare,Groceries,High,Credit Card,Both,Weekly,>$500,Moderate,No,Low,Active,High,Never,Moderate,Moderate
Frequent,Groceries,High,Digital Wallet,Offline,Weekly,$100-$500,Moderate,Yes,High,Active,High,Frequent,Moderate,High
Occasional,Books,Low,Credit Card,Both,Monthly,>$500,High,Yes,High,Inactive,High,Frequent,High,Moderate
Rare,Home Decor,Low,Credit Card,Offline,Occasionally,>$500,High,No,High,Inactive,Low,Occasional,Moderate,Moderate
Rare,Groceries,Moderate,Debit Card,Offline,Weekly,$50-$100,Moderate,Yes,High,Active,High,Frequent,High,Low
Rare,Groceries,Moderate,Credit Card,Online,Weekly,<$50,High,No,Moderate,Inactive,Low,Occasional,Moderate,Low
Rare,Home Decor,Low,Debit Card,Online,Weekly,$50-$100,High,No,High,Active,High,Frequent,High,Low
Rare,Books,High,Credit Card,Online,Occasionally,<$50,Moderate,No,Moderate,Active,Moderate,Frequent,Low,Low
Frequent,Home Decor,Moderate,Debit Card,Both,Occasionally,<$50,Moderate,Yes,Moderate,Inactive,High,Occasional,Low,Low
Rare,Clothing,Low,Digital Wallet,Both,Weekly,$50-$100,Moderate,Yes,High,Active,High,Frequent,Moderate,Moderate
Frequent,Home Decor,Low,Digital Wallet,Both,Weekly,<$50,Low,Yes,Moderate,Active,Moderate,Occasional,Moderate,Low
Occasional,Electronics,High,Debit Card,Online,Occasionally,<$50,Moderate,Yes,Low,Active,Low,Frequent,Moderate,Moderate
Frequent,Home Decor,Moderate,Digital Wallet,Offline,Weekly,>$500,Low,No,Low,Inactive,High,Frequent,Low,Low
Rare,Electronics,Low,Digital Wallet,Online,Daily,<$50,Low,Yes,Moderate,Inactive,Low,Frequent,High,Low
Rare,Books,Moderate,Credit Card,Online,Monthly,<$50,Low,No,Low,Active,High,Occasional,High,High
Occasional,Electronics,Moderate,Debit Card,Both,Occasionally,<$50,Low,No,Low,Active,High,Never,Low,Moderate
Occasional,Books,Low,Credit Card,Both,Weekly,$100-$500,High,Yes,Moderate,Active,Low,Occasional,Low,Moderate
Rare,Books,Moderate,Digital Wallet,Online,Weekly,>$500,Low,Yes,High,Inactive,Low,Never,Low,Moderate
Frequent,Groceries,Moderate,Credit Card,Offline,Monthly,<$50,Moderate,Yes,Moderate,Inactive,Low,Never,Moderate,Low
Occasional,Groceries,Moderate,Credit Card,Both,Daily,>$500,Moderate,No,High,Active,Moderate,Occasional,Moderate,High
Frequent,Clothing,High,Cash,Online,Occasionally,<$50,Moderate,Yes,Moderate,Active,Moderate,Frequent,High,High
Rare,Groceries,Low,Debit Card,Online,Occasionally,$100-$500,Low,Yes,High,Active,Low,Never,Moderate,Low
Occasional,Books,Low,Cash,Online,Daily,>$500,Moderate,No,High,Inactive,High,Frequent,Moderate,High
Rare,Electronics,Low,Credit Card,Online,Weekly,$100-$500,Moderate,Yes,Low,Active,Moderate,Frequent,Low,High
Rare,Home Decor,High,Debit Card,Both,Monthly,$100-$500,Low,Yes,Moderate,Inactive,Moderate,Frequent,Low,High
Occasional,Groceries,Moderate,Debit Card,Both,Daily,<$50,Low,Yes,High,Inactive,Low,Occasional,High,Low
Rare,Home Decor,Low,Cash,Both,Daily,$100-$500,High,Yes,Low,Active,High,Frequent,High,High
Occasional,Electronics,Low,Cash,Both,Daily,$100-$500,Low,Yes,High,Active,Moderate,Never,Low,High
Rare,Clothing,Low,Cash,Offline,Daily,<$50,Low,Yes,Low,Inactive,Low,Frequent,Low,Moderate
Frequent,Groceries,Moderate,Debit Card,Both,Weekly,$50-$100,Low,Yes,Moderate,Inactive,Moderate,Frequent,Moderate,Moderate
Rare,Books,High,Debit Card,Online,Daily,>$500,Moderate,No,High,Inactive,Low,Occasional,Moderate,High
Frequent,Home Decor,Low,Cash,Offline,Daily,$50-$100,Moderate,Yes,Moderate,Inactive,Moderate,Occasional,Low,High
Frequent,Home Decor,Low,Cash,Both,Occasionally,<$50,Moderate,Yes,Low,Inactive,High,Never,Moderate,Moderate
Occasional,Books,Moderate,Cash,Online,Occasionally,>$500,Moderate,Yes,Moderate,Active,High,Never,Low,Moderate
Occasional,Books,Moderate,Debit Card,Both,Weekly,<$50,Moderate,No,Moderate,Active,Moderate,Never,Moderate,Low
Rare,Clothing,High,Debit Card,Both,Weekly,<$50,High,Yes,High,Active,Moderate,Frequent,Low,High
